symbol,horizon,uncond_mean_bps,uncond_std_bps,settle_mean_bps,settle_n,hi_extreme_mean_bps,hi_extreme_n,lo_extreme_mean_bps,lo_extreme_n,pnl_hi_short_bps,pnl_lo_long_bps
APTUSDT,4h,-2.2950967751548483,212.2014618801032,-4.824949000230048,3924,0.6455963949105246,775,-7.467490832648223,417,-0.6455963949105246,-7.467490832648223
SUIUSDT,15m,-0.07520505059393291,64.39197045016557,1.5615470569351477,3556,0.7149070200799815,565,-5.811739815434719,388,-0.7149070200799815,-5.811739815434719
SUIUSDT,1h,-0.2600284175298792,118.66066114880499,1.3839080535651749,3556,0.004739340825026427,565,-7.055827812264454,388,-0.004739340825026427,-7.055827812264454
SUIUSDT,4h,-0.9591002601316152,228.40982157270835,-0.3925099746867682,3556,0.4660080679644071,565,-9.282985229130336,388,-0.4660080679644071,-9.282985229130336
NEARUSDT,15m,0.030569479970207522,56.94065474703551,-0.7194857780210479,3924,-3.293471340609706,951,-0.9831318456063608,396,3.293471340609706,-0.9831318456063608
NEARUSDT,1h,0.09732748674750767,110.15105699749348,-0.46609429863127266,3924,-2.256718057065657,951,3.336072350979493,396,2.256718057065657,3.336072350979493
NEARUSDT,4h,0.38048688186847696,215.4083778099433,-0.4648973836825429,3924,-1.5960489935809707,951,11.867772790929568,396,1.5960489935809707,11.867772790929568
ATOMUSDT,15m,-0.15942981809407444,45.696782452989964,-0.410218275650371,3924,1.717303511322194,578,0.9719943902421093,412,-1.717303511322194,0.9719943902421093
ATOMUSDT,1h,-0.6445417798163448,86.00344566093352,-1.0547569367645127,3924,2.808811471176096,578,-6.5106810407524645,412,-2.808811471176096,-6.5106810407524645
ATOMUSDT,4h,-2.595225927695497,165.8240783742304,-2.2840543637627864,3924,9.04198078719043,578,4.565774450508803,412,-9.04198078719043,4.565774450508803
TRXUSDT,15m,0.13506835512823642,22.852216895940234,0.845829632568842,3924,-0.27150942828845387,468,-0.8236657328787897,445,0.27150942828845387,-0.8236657328787897
TRXUSDT,1h,0.5636027095167584,47.74278772343832,1.1649083560780111,3924,0.1693008203101066,468,0.7595933276010471,445,-0.1693008203101066,0.7595933276010471
TRXUSDT,4h,2.2644688123088335,97.64864607189688,3.4586510148702967,3924,5.6754739459528185,468,7.097524026366203,445,-5.6754739459528185,7.097524026366203
FILUSDT,15m,-0.10194112374686948,53.68244510565326,-1.2723846510866355,3924,0.5796119169733348,1292,1.397434481998427,398,-0.5796119169733348,1.397434481998427
FILUSDT,1h,-0.44472898782699155,105.34635386475445,-1.5928650941337896,3924,3.046127870917751,1292,6.358722366259753,398,-3.046127870917751,6.358722366259753
FILUSDT,4h,-1.8151814208893686,209.8378428039306,-3.452269469408952,3924,2.1312583165476306,1292,2.9643401754209293,398,-2.1312583165476306,2.9643401754209293
INJUSDT,15m,0.11692174795724278,65.14584433005379,-0.8572137156730268,3924,0.11656044089690791,647,-1.5887397983907199,434,-0.11656044089690791,-1.5887397983907199
INJUSDT,1h,0.46108709144504956,123.77764476304777,-2.7622597524582773,3924,0.29225244185809707,647,-3.3434036808886756,434,-0.29225244185809707,-3.3434036808886756
INJUSDT,4h,1.7149756307190192,238.69871299727674,0.9455454309409117,3924,3.3416522378564864,647,5.663808594486819,434,-3.3416522378564864,5.663808594486819
TIAUSDT,15m,-0.21467359723975946,77.74659251664713,0.538751124306332,6024,4.075501199702484,703,-1.5371144457032153,596,-4.075501199702484,-1.5371144457032153
TIAUSDT,1h,-0.8509553574855167,142.0882932640444,1.3221043960337755,6024,7.999404033995984,703,-5.8101330575780885,596,-7.999404033995984,-5.8101330575780885
TIAUSDT,4h,-3.319720567543434,265.6814747532082,-3.343876212600071,6023,-2.4853680189159992,703,-3.4197070067142055,595,2.4853680189159992,-3.4197070067142055
SEIUSDT,15m,-0.1603923521171442,65.51879564248186,0.4807563934960585,3239,-4.944711973071324,337,-5.080476097795505,350,4.944711973071324,-5.080476097795505
SEIUSDT,1h,-0.606933562458115,124.62912466968831,0.015433882173714716,3239,2.0511986939876405,337,4.370938740036791,350,-2.0511986939876405,4.370938740036791
SEIUSDT,4h,-2.386082791439489,239.14781047546597,-2.226274988062954,3239,-1.6743027717216314,337,-10.780140635946134,350,1.6743027717216314,-10.780140635946134
WLDUSDT,15m,-0.21470234407842287,78.39655394749127,1.2312288980954622,3310,-0.8095830843311294,671,3.68517694261732,349,0.8095830843311294,3.68517694261732
WLDUSDT,1h,-0.8004742623082814,146.36584531421394,-1.351973842616791,3310,-2.1015021409441133,671,5.690732891440662,349,2.1015021409441133,5.690732891440662
WLDUSDT,4h,-3.081819344391525,282.44099019689247,-8.349747212303106,3310,-8.439625753746025,671,-14.828897328851905,349,8.439625753746025,-14.828897328851905
RUNEUSDT,15m,-0.08051238364042225,53.42224665719444,-0.6289180329638917,3924,-1.146801125433202,1370,3.002248469861792,397,1.146801125433202,3.002248469861792
RUNEUSDT,1h,-0.33827809957701277,105.35445045283144,-0.9208124026130985,3924,-0.6205462937293332,1370,0.05561840210115793,397,0.6205462937293332,0.05561840210115793
RUNEUSDT,4h,-1.3724006253902918,213.5570648019983,-1.5737204453488456,3924,2.833984490186068,1370,7.715538893166163,397,-2.833984490186068,7.715538893166163
