mechanism_id,family,horizon_h,tier,verdict,n_raw,n_independent_L1,n_independent_L2_days,n_independent_L3_weeks,gross_bps,net_bps,net_bps_stress28,t_stat_declustered,event_rate_L1_per_week_recent6m,eta_forward_confirmation_years,eta_at_zero_cost_years,sharpe_net_ann,sharpe_gross_ann,net_bps_min_for_1y_confirm,cost_bps_for_1y_confirm,capacity_usd_estimate,ex_best_year_net_bps,best_year
M16_XS_BASIS_REVERSAL,G_cross_sectional_hourly,1,T_ALL,DEAD,50634,50634.0,2112.0,303.0,0.5521290737314308,-11.15732200563716,-22.86677308500575,4.321775854832958,168.89444444444445,,7.074030181938408,-42.79108791718408,2.105974714718822,1.4613439335724125,-0.912091789872826,4832115.600000001,-11.231331715042892,2020.0
M16_XS_BASIS_REVERSAL,G_cross_sectional_hourly,4,T_ALL,DEAD,50631,12661.0,2112.0,303.0,0.9015733606888395,-11.36522191690668,-23.6320171945022,2.9789037984434557,42.19444444444444,,13.127607887471765,-19.652389826859213,1.5459441801912384,3.242374831144699,-2.3477865695063596,19329515.2,-11.566132042451917,2020.0
M16_XS_BASIS_REVERSAL,G_cross_sectional_hourly,12,T_ALL,DEAD,50623,4221.0,2112.0,303.0,1.2446302688695285,-11.35071224802958,-23.94605476492869,2.2653197830973903,14.038888888888888,,25.64462875108646,-10.501791207486152,1.1060847347736107,6.0798246962561615,-4.879646803549029,57973809.599999994,-11.591078794922439,2020.0
M17_FUNDING_CROWDING_FADE,H_funding_control,1,T_ALL,DEAD,1952630,108901.0,2174.0,327.0,0.6741890443997413,-13.325810955600259,-27.325810955600257,3.4145141118996207,419.14444444444445,,16.01763313567918,-13.196627445822397,1.3995468320493125,5.374311419814124,-4.031928458657308,87285.08750000001,-13.343822946925137,2020.0
M17_FUNDING_CROWDING_FADE,H_funding_control,4,T_ALL,DEAD,1952403,108899.0,2174.0,327.0,2.5359452501492266,-11.464054749850774,-25.464054749850774,2.6837276586143477,419.06666666666666,,25.540282407109185,-2.759055267025956,1.1083419191683168,20.28350912267085,-16.27130501709105,349168.875,-12.044101103599296,2022.0
M17_FUNDING_CROWDING_FADE,H_funding_control,12,T_ALL,DEAD,1951843,108874.0,2174.0,327.0,6.527117279564008,-7.472882720435992,-21.47288272043599,1.8402739653132207,418.4444444444444,,49.19969080333687,-0.5687555439419302,0.7985560789085343,57.37125670271739,-49.1947847720446,1047482.4750000001,-10.99920951573137,2025.0
M1_RESID_REVERSION_1H_z1.5,A_resid_move,1,T_ALL,DEAD,646003,165276.0,2308.0,330.0,1.401890732954401,-12.598109267045599,-26.5981092670456,6.851313535923219,717.6555555555556,,3.5495499150231757,-8.84422688781606,2.9730345956070785,6.638118841425509,-3.115942032789622,290342.35000000003,-12.846596794428166,2020.0
M1_RESID_REVERSION_1H_z1.5,A_resid_move,4,T_ALL,DEAD,645926,165270.0,2308.0,330.0,2.6024355162684096,-11.39756448373159,-25.39756448373159,6.675408477314272,717.5,,3.7894472386226012,-4.052153849116525,2.877389632274974,11.320281966310851,-5.506990663640441,1161427.1,-11.712121985873582,2020.0
M1_RESID_REVERSION_1H_z1.5,A_resid_move,12,T_ALL,DEAD,645577,165203.0,2308.0,330.0,3.118594557193945,-10.881405442806056,-24.881405442806056,4.35567692994172,715.8666666666667,,9.315298593352205,-2.3470635181634383,1.8352203512019827,18.7563514475323,-12.613037000364901,3483835.8000000003,-11.13700673649301,2020.0
M1_RESID_REVERSION_1H_z2.5,A_resid_move,1,T_ALL,DEAD,187665,78067.0,2301.0,330.0,2.7326013952868475,-11.267398604713152,-25.26739860471315,7.14047848398489,329.7388888888889,,3.4112005888641455,-3.02335367364761,3.0327246258883425,12.953000642870473,-5.942169100997879,552237.2000000001,-11.773529692148891,2020.0
M1_RESID_REVERSION_1H_z2.5,A_resid_move,4,T_ALL,DEAD,187646,78061.0,2301.0,330.0,4.992504500619276,-9.007495499380724,-23.007495499380724,6.608834771530385,329.6611111111111,,3.8258786232306163,-0.659386252915541,2.8636570959459404,22.26608597720305,-10.886379464026263,2208909.6,-9.641973476326587,2020.0
M1_RESID_REVERSION_1H_z2.5,A_resid_move,12,T_ALL,DEAD,187498,78015.0,2301.0,330.0,6.782015237287025,-7.217984762712975,-21.217984762712973,4.7010564440539575,328.9222222222222,,7.553432384367981,-0.1373732755199906,2.0380481198296776,36.059398089423624,-22.943468578658994,6625412.699999999,-7.6525211697726006,2020.0
M1_RESID_REVERSION_1H_z4.0,A_resid_move,1,T_ALL,DEAD,53041,30068.0,2246.0,329.0,3.7775076614866037,-10.222492338513396,-24.222492338513398,6.310734214004335,128.95555555555555,,5.163506521808358,-0.04170141948837224,2.464984778505436,31.29405913270875,-17.52696418213395,1057168.6,-14.511336677229664,2021.0
