mechanism_id,family,horizon_h,tier,raw_episodes_per_day,sd_episode_bps,sd_daymean_bps,k_eff_independent_per_day,redundancy_factor,net_bps_min_1y,eta_years
M5_FLOW_IMBALANCE_FOLLOW_0.5,B_flow,4,T_ALL,7.2464,173.07398347407835,116.38072059347614,2.2115741002856364,3.276580241676772,34.13252701369689,
M5_FLOW_IMBALANCE_FOLLOW_0.5,B_flow,12,T_ALL,7.2456,296.0298119098865,244.98790272290455,1.4600966978917636,4.962411058433277,71.85087156254667,
M6_OI_BUILD_FADE_0.01,C_oi,1,T_ALL,125.52816901408451,186.9284273480838,25.107090340328885,55.43166630574868,2.2645570191179027,7.3634914348918565,
M6_OI_BUILD_FADE_0.01,C_oi,4,T_ALL,125.51643192488262,321.3570834106535,53.27826960984797,36.38107535652948,3.4500473307850044,15.625629119906835,
M6_OI_BUILD_FADE_0.01,C_oi,12,T_ALL,125.46948356807512,501.5076581807443,97.99575480763939,26.190308474577602,4.790683687054155,28.74052275275968,
M6_OI_BUILD_FADE_0.02,C_oi,1,T_ALL,63.44718309859155,223.22277539513638,38.76339962163362,33.161433057333674,1.9132823056499413,11.368659499452392,
M6_OI_BUILD_FADE_0.02,C_oi,4,T_ALL,63.4424882629108,387.0226498630892,82.59708830744452,21.955497800048434,2.889594617288561,24.224350335089728,
M7_OI_FLUSH_BOUNCE_0.01,C_oi,1,T_ALL,116.5669014084507,164.87229548699105,26.768301497212367,37.936192358834774,3.0727095725858744,7.850696999513172,
M7_OI_FLUSH_BOUNCE_0.01,C_oi,4,T_ALL,116.55281690140845,286.67290876359294,43.510444860639666,43.40964746292419,2.6849519338058485,12.76088880538348,
M7_OI_FLUSH_BOUNCE_0.01,C_oi,12,T_ALL,116.47946009389672,468.2431802330598,77.63642684582997,36.375740525242136,3.2021192809275836,22.769470948874144,
M7_OI_FLUSH_BOUNCE_0.02,C_oi,1,T_ALL,47.96244131455399,206.34129035114034,44.15412881841809,21.83884386839761,2.1961987366904125,12.949670589558021,
