net_put_flow_btc_z,net_call_flow_btc_z,block_share_z,pc_volume_ratio_z,top_strike_share_z,lag,event_day
0.29017484635426855,-0.28391730093891404,0.2895976869584858,-0.010540968387278696,-0.10190268117523035,-2,2023-05-18
-0.42819407397648185,-0.501421051790907,0.7860784653056776,2.915997571761905,-0.1155874881496466,-1,2023-05-18
0.15606317272322587,-1.9045398983399198,0.6493415821535086,-1.2176771995159168,0.9789921274690243,0,2023-05-18
0.18235897438459875,1.1484557248432723,0.9170011923895481,0.38790420491327887,0.6978737944591913,1,2023-05-18
-0.19689839033641743,-0.07533718343375415,-1.0112889626015655,-1.2712920543048039,-0.22277500173549555,2,2023-05-18
0.40899736719701935,-0.8670045229106589,0.19078652486744924,0.14918985626795606,-0.5093365310202184,-2,2023-05-26
-1.159953385270137,0.5627021678861754,0.41432902264628063,0.40016592790838157,-0.7387781032006825,-1,2023-05-26
-0.48205657631796023,-1.0855723443027017,-0.7578666873184721,0.7530026536761726,-1.0221533393335118,0,2023-05-26
-0.11265223759991702,-0.3119284629862458,-1.4320437251089848,-0.7565721166627056,-0.03816098882426274,1,2023-05-26
1.4681137623810305,-0.7985673974045795,-1.0229024538471148,-1.1622823402728748,-0.01601526999418305,2,2023-05-26
-0.48205657631796023,-1.0855723443027017,-0.7578666873184721,0.7530026536761726,-1.0221533393335118,-2,2023-05-28
-0.11265223759991702,-0.3119284629862458,-1.4320437251089848,-0.7565721166627056,-0.03816098882426274,-1,2023-05-28
1.4681137623810305,-0.7985673974045795,-1.0229024538471148,-1.1622823402728748,-0.01601526999418305,0,2023-05-28
-1.5992911251950648,-0.9849708739769965,-0.13942128117123298,0.14124267487716993,-0.755434601114348,1,2023-05-28
-0.6237529329057553,-0.050695830571650974,0.026692609185430035,-0.024290199724458714,2.576151709596102,2,2023-05-28
-1.5992911251950648,-0.9849708739769965,-0.13942128117123298,0.14124267487716993,-0.755434601114348,-2,2023-05-31
-0.6237529329057553,-0.050695830571650974,0.026692609185430035,-0.024290199724458714,2.576151709596102,-1,2023-05-31
1.1858146629252555,-1.2480886021166009,-0.09404472315813947,6.562497021040152,-0.46012623209380316,0,2023-05-31
-0.5784334418338367,-0.5146480000858135,-0.6722506064773457,-0.49477344153074154,0.06360264744267342,1,2023-05-31
-1.2571932291729786,1.4430492763020657,-0.22340469253763087,-0.7008659964634452,0.3352322951228831,2,2023-05-31
-1.52045186846494,-1.8263486080488185,-0.4700213089147173,0.7154877634703958,-0.6621371939605198,-2,2023-06-16
3.028549295503405,-0.8695060094177547,0.32546106292687255,0.42574620002422997,0.12549221184583842,-1,2023-06-16
-0.36783208211922563,3.155562301390995,-0.2545669997194458,-0.22106710251446235,-0.8894814429985216,0,2023-06-16
0.16352986962666033,-0.4438152463382389,-1.211954069003994,-0.5941468347605087,0.9682123157860151,1,2023-06-16
-0.051261924974628593,0.27700554419391726,-0.9397218830606123,-0.8045925496073115,1.7939342105901097,2,2023-06-16
3.028549295503405,-0.8695060094177547,0.32546106292687255,0.42574620002422997,0.12549221184583842,-2,2023-06-17
-0.36783208211922563,3.155562301390995,-0.2545669997194458,-0.22106710251446235,-0.8894814429985216,-1,2023-06-17
0.16352986962666033,-0.4438152463382389,-1.211954069003994,-0.5941468347605087,0.9682123157860151,0,2023-06-17
-0.051261924974628593,0.27700554419391726,-0.9397218830606123,-0.8045925496073115,1.7939342105901097,1,2023-06-17
0.23505916909508967,-0.33785789609866057,2.3468697239070755,0.5524180308782611,0.5467841540660515,2,2023-06-17
-3.9392498354123417,-1.8179181329646126,0.8068077551092726,-0.3302982676312781,0.860848245847748,-2,2023-06-28
-1.563238127270345,0.1395749755099452,0.9017174555668154,-0.882422101246988,0.16186275608903514,-1,2023-06-28
0.4692473818024962,-0.7122415315705416,-0.18612235792468526,-0.5550141946635221,-0.21657001329051526,0,2023-06-28
-0.8722662194971613,0.08801339308735125,2.134939979811839,-0.7291653225808178,-0.8839339862002078,1,2023-06-28
-0.5888662840349135,3.782433148340572,0.3163681609794867,-0.6080867445519753,-0.1324314441742749,2,2023-06-28
0.4692473818024962,-0.7122415315705416,-0.18612235792468526,-0.5550141946635221,-0.21657001329051526,-2,2023-06-30
-0.8722662194971613,0.08801339308735125,2.134939979811839,-0.7291653225808178,-0.8839339862002078,-1,2023-06-30
-0.5888662840349135,3.782433148340572,0.3163681609794867,-0.6080867445519753,-0.1324314441742749,0,2023-06-30
-0.40266417263833765,-0.16686497250574722,-1.4060571626443457,-0.3245817662885287,-0.5457624047215286,1,2023-06-30
0.2578293699283861,-0.2935759852027113,-0.5204206685203978,-0.3091274695903305,1.0806992004062324,2,2023-06-30
-0.17813405340295932,-0.4963236005590477,-0.7183406039523731,-0.7696564880979485,0.061602997080431036,-2,2023-07-10
-0.07371136319058565,-0.5021991287405887,-1.6740067608077813,-0.5826426424114024,-0.06032861593820384,-1,2023-07-10
-0.5948508555033215,0.32349650245082134,0.9456632767957743,-0.597861838652114,-0.22889066946816022,0,2023-07-10
-0.40740133475934304,0.7255122673843594,0.5484865371869144,-0.5132253124820962,-0.655225454297767,1,2023-07-10
0.5874081115000721,0.03275462758525286,0.7187292790974927,-0.40918240259462046,0.09680927316229841,2,2023-07-10
-0.46044560793751094,0.9661368871751216,0.5028029118811501,-0.4198838891674752,-1.2125991339427604,-2,2023-07-28
0.7947815910852571,-0.3856689618359116,0.6363037052123529,-0.03446687455988878,-1.6618615670483807,-1,2023-07-28
