key,signal,neutral,horizon,basket,hold,smooth,state,regime,dir,n_days,n_indep,gross_dly,cost_dly,net_dly,net_per_hold,t,t_dir,t_inv,stab,nw_lag,meff,thr,passes,passes_placebo
dist_low_10|mom|h1|k8|hd5|sm0|-|-,dist_low_10,mom,1,8,5,0,-,-,DIR,853,170,0.3677818139913762,5.186834532312595,-4.819052718321219,-4.819052718321219,-0.9031135190366234,-0.9031135190366234,-1.0407026737404466,0.25,7,798.0000000000082,4.002575583248625,False,False
oi_intraday_chg_5|raw|h1|k8|hd1|sm0|-|-,oi_intraday_chg_5,raw,1,8,1,0,-,-,INV,848,848,-3.614899971733543,12.725025384770738,-9.110125413037196,-9.110125413037196,-0.9039758124786348,-1.6232591181106257,-0.9039758124786348,0.25,3,798.0000000000082,4.002575583248625,False,False
lsr_ttpos_lvl|allf|h1|k12|hd1|sm0|-|-,lsr_ttpos_lvl,allf,1,12,1,0,-,-,DIR,505,505,2.1754336899251885,8.864981158497391,-6.689547468572205,-6.689547468572205,-0.9042970288460018,-0.9042970288460018,-1.4881317063581552,0.25,3,798.0000000000082,4.002575583248625,False,False
crowding_z|mom|h1|k12|hd1|sm5|-|-,crowding_z,mom,1,12,1,5,-,-,INV,849,849,-0.6732953857915174,6.893791966268163,-6.2204965804766434,-6.2204965804766434,-0.9047873127900807,-1.1056734276205449,-0.9047873127900807,0.25,8,798.0000000000082,4.002575583248625,False,False
funding_z60|allf|h1|k8|hd5|sm0|-|-,funding_z60,allf,1,8,5,0,-,-,DIR,853,170,0.09311653523550968,4.7041566219789805,-4.61104008674347,-4.61104008674347,-0.9056841085209025,-0.9056841085209025,-0.9434834871054759,0.25,7,798.0000000000082,4.002575583248625,False,False
trend_quality_20|mom|h1|k8|hd1|sm0|-|-,trend_quality_20,mom,1,8,1,0,-,-,DIR,853,853,4.373749153562696,12.00635352839683,-7.632604374834132,-7.632604374834132,-0.9059206203654712,-0.9059206203654712,-1.9313407497362085,0.0,3,798.0000000000082,4.002575583248625,False,False
oi_x_taker|mom|h3|k8|hd1|sm0|-|-,oi_x_taker,mom,3,8,1,0,-,-,DIR,853,284,1.4959500513519282,7.498945040567026,-6.0029949892150976,-18.008984967645294,-0.9062894628061202,-0.9062894628061202,-1.3581560568577669,0.25,5,798.0000000000082,4.002575583248625,False,False
mom_60|mom|h1|k8|hd1|sm5|-|-,mom_60,mom,1,8,1,5,-,-,DIR,849,849,3.3934395071759904,11.44792324347726,-8.054483736301272,-8.054483736301272,-0.9067512656834744,-0.9067512656834744,-1.7017222550907505,0.25,8,798.0000000000082,4.002575583248625,False,False
taker_imb_z10|raw|h1|k12|hd5|sm0|-|-,taker_imb_z10,raw,1,12,5,0,-,-,DIR,853,170,1.9596334623955844,5.283931330842849,-3.3242978684472644,-3.3242978684472644,-0.9076445849621023,-0.9076445849621023,-1.9826046867696032,0.25,7,798.0000000000082,4.002575583248625,False,False
crowding_z|mom|h3|k12|hd1|sm0|-|-,crowding_z,mom,3,12,1,0,-,-,DIR,853,284,2.121322638838625,6.60627432227322,-4.484951683434593,-13.45485505030378,-0.9093983752037373,-0.9093983752037373,-1.7682631220475828,0.25,5,798.0000000000082,4.002575583248625,False,False
lsr_globacct_lvl|full|h1|k12|hd1|sm0|-|-,lsr_globacct_lvl,full,1,12,1,0,-,-,DIR,834,834,4.9017565695145615,10.770121445521003,-5.868364876006445,-5.868364876006445,-0.9110864001973527,-0.9110864001973527,-2.4377787100074344,0.25,3,798.0000000000082,4.002575583248625,False,False
trade_count_z60|mkt|h3|k12|hd1|sm0|-|-,trade_count_z60,mkt,3,12,1,0,-,-,INV,853,284,-0.32358404086425524,6.44475283153842,-6.121168790674165,-18.363506372022496,-0.9136021072566046,-1.006009504974712,-0.9136021072566046,0.25,5,798.0000000000082,4.002575583248625,False,False
dist_low_10|full|h3|k12|hd1|sm0|-|-,dist_low_10,full,3,12,1,0,-,-,INV,853,284,-0.5829297542806465,6.414278353038477,-5.831348598757833,-17.494045796273497,-0.9161964053651068,-1.0935187406509996,-0.9161964053651068,0.25,5,798.0000000000082,4.002575583248625,False,False
