symbol,year,n_hours,tbb_is_half_volume,tbq_is_half_qav,tbratio_base_eq_0p5,ntr_zero_rate,trades_zero_rate,vol_zero_rate,n_match_perp,n_match_spot,frac_eq_perp,frac_eq_spot,source
SANDUSDT,2021,8177,1.0,1.0,1.0,1.0,1.0,0.0,8177,8164,1.0,0.0486,PERP
SANDUSDT,2022,8760,1.0,1.0,1.0,1.0,1.0,0.0,8640,8760,1.0,0.0334,PERP
SANDUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.0511,PERP
SANDUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0913,PERP
SANDUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0619,PERP
SANDUSDT,2026,4299,1.0,1.0,1.0,1.0,1.0,0.0,4299,4299,0.9998,0.0365,PERP
SEIUSDT,2023,3286,1.0,1.0,1.0,1.0,1.0,0.0,3286,3286,1.0,0.1926,PERP
SEIUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0457,PERP
SEIUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.1118,PERP
SEIUSDT,2026,4297,1.0,1.0,1.0,1.0,1.0,0.0,4297,4297,0.9998,0.1201,PERP
SOLUSDT,2020,2586,0.0,1.0,0.0,0.0,0.0,0.0,2586,2581,0.9996,0.0411,PERP
SOLUSDT,2021,8760,0.0001,1.0,0.0001,0.0,0.0,0.0,8760,8747,1.0,0.0775,PERP
SOLUSDT,2022,8640,0.0,1.0,0.0,0.0,0.0,0.0,8640,8640,1.0,0.0678,PERP
SOLUSDT,2023,8760,0.0,1.0,0.0001,0.0,0.0,0.0,8760,8759,1.0,0.101,PERP
SOLUSDT,2024,8784,0.0,1.0,0.0,0.0,0.0,0.0,8784,8784,1.0,0.0526,PERP
SOLUSDT,2025,8760,0.0,1.0,0.0,0.0,0.0,0.0,8760,8760,1.0,0.0129,PERP
SOLUSDT,2026,5924,0.0,1.0,0.0,0.0,0.0,0.0,5088,5088,0.6557,0.3441,MIX
STXUSDT,2023,7522,1.0,1.0,1.0,1.0,1.0,0.0,7522,7521,1.0,0.0649,PERP
