symbol,source,year,n_hours,close_med_abs_dev_bps,close_p99_abs_dev_bps,frac_close_dev_gt_1bp,vol_med_abs_rel_dev,ntr_enriched_zero_rate,tbb_eq_half_vol_rate,tbq_eq_half_qav_rate,tbb_med_abs_rel_dev_vs_v2
LTCUSDT,perp,2021,8760,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0535
LTCUSDT,perp,2022,8640,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0534
LTCUSDT,perp,2023,8760,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0541
LTCUSDT,perp,2024,8784,0.0,0.0,0.0002,0.0,1.0,1.0,1.0,0.0619
LTCUSDT,perp,2025,8760,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0696
LTCUSDT,perp,2026,4295,0.0,0.0,0.0002,0.0,1.0,1.0,1.0,0.0824
LTCUSDT,spot,2021,8747,7.663,37.75,0.9373,2.1423,1.0,1.0,1.0,2.141
LTCUSDT,spot,2022,8760,6.085,20.28,0.9492,4.2374,1.0,1.0,1.0,4.3311
LTCUSDT,spot,2023,8759,4.995,12.33,0.9642,5.8879,1.0,1.0,1.0,6.1119
LTCUSDT,spot,2024,8784,5.7,15.49,0.9571,3.1434,1.0,1.0,1.0,3.2204
LTCUSDT,spot,2025,8760,5.126,9.4,0.9664,3.9287,1.0,1.0,1.0,4.0516
LTCUSDT,spot,2026,4295,6.854,11.15,1.0,3.3445,1.0,1.0,1.0,3.4915
MKRUSDT,perp,2021,8760,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1715
MKRUSDT,perp,2022,8640,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0653
MKRUSDT,perp,2023,8760,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.059
MKRUSDT,perp,2024,8784,0.0,0.0,0.0002,0.0,1.0,1.0,1.0,0.0708
MKRUSDT,perp,2025,8760,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0813
MKRUSDT,perp,2026,4296,0.0,0.0,0.0,,1.0,1.0,1.0,
MKRUSDT,spot,2021,8747,9.886,57.97,0.9475,4.8609,1.0,1.0,1.0,5.0728
