symbol,ref,year,n,frac_close_eq,frac_vol_eq_1pct,vol_median_ratio
FETUSDT,perp,2023,8374,1.0,0.9999,1.0
FETUSDT,perp,2024,8784,0.9998,0.9997,1.0
FETUSDT,perp,2025,8760,1.0,0.9995,1.0
FETUSDT,perp,2026,4297,0.9998,0.9998,1.0
FETUSDT,spot,2023,8373,0.1431,0.0,3.8037
FETUSDT,spot,2024,8784,0.077,0.0,2.7597
FETUSDT,spot,2025,8760,0.0656,0.0,3.651
FETUSDT,spot,2026,4297,0.0691,0.0,3.5811
FILUSDT,perp,2021,8760,1.0,1.0,1.0
FILUSDT,perp,2022,8640,1.0,1.0,1.0
FILUSDT,perp,2023,8760,1.0,0.9999,1.0
FILUSDT,perp,2024,8784,0.9998,0.9997,1.0
FILUSDT,perp,2025,8760,1.0,0.9995,1.0
FILUSDT,perp,2026,4296,0.9998,0.9998,1.0
FILUSDT,spot,2021,8747,0.0719,0.007,1.6587
FILUSDT,spot,2022,8760,0.0795,0.0001,4.4788
FILUSDT,spot,2023,8759,0.0621,0.0,6.7428
FILUSDT,spot,2024,8784,0.0812,0.0001,5.5622
FILUSDT,spot,2025,8760,0.1723,0.0,7.975
FILUSDT,spot,2026,4296,0.2055,0.0,11.5195
GRTUSDT,perp,2021,8760,1.0,0.9998,1.0
GRTUSDT,perp,2022,8640,1.0,1.0,1.0
GRTUSDT,perp,2023,8760,1.0,0.9999,1.0
GRTUSDT,perp,2024,8784,0.9998,0.9998,1.0
GRTUSDT,perp,2025,8760,1.0,0.9995,1.0
GRTUSDT,perp,2026,4297,0.9998,0.9998,1.0
GRTUSDT,spot,2021,8747,0.0386,0.0043,1.8678
GRTUSDT,spot,2022,8760,0.0632,0.0001,4.1462
GRTUSDT,spot,2023,8759,0.0822,0.0,5.2882
GRTUSDT,spot,2024,8784,0.0544,0.0,3.3444
GRTUSDT,spot,2025,8760,0.0562,0.0,4.0777
GRTUSDT,spot,2026,4297,0.0112,0.0,4.6477
HBARUSDT,perp,2021,6953,1.0,1.0,1.0
