symbol,venue,start_ts,end_ts,required_data_types,reason,priority,can_backfill_free,needs_paid_provider,free_sources_available,event_id,launch_ts
CHIPUSDT,binance-futures,2026-04-16T06:45:00+00:00,2026-04-16T13:15:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;markPriceKlines;metrics;premiumIndexKlines,0c2309bd4c1d478508f92129,2026-04-16T07:15:00+00:00
OPGUSDT,binance-futures,2026-04-22T15:00:00+00:00,2026-04-22T21:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,ccb83aab3b96f19dedf813f2,2026-04-22T15:30:00+00:00
AIGENSYNUSDT,binance-futures,2026-04-29T13:45:00+00:00,2026-04-29T20:15:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics,aa14e742e8cfb1efff510dc4,2026-04-29T14:15:00+00:00
BILLUSDT,binance-futures,2026-05-07T07:45:00+00:00,2026-05-07T14:15:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,742251cb77d37722f13a482f,2026-05-07T08:15:00+00:00
PHAROSUSDT,binance-futures,2026-05-14T04:45:00+00:00,2026-05-14T11:15:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics,56f2f342b29eec0adafc21d9,2026-05-14T05:15:00+00:00
SPCXUSDT,binance-futures,2026-05-21T04:15:00+00:00,2026-05-21T10:45:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",missing_mark_index,P0,False,True,aggTrades;bookDepth;fundingRate;markPriceKlines;metrics,1a859f85a0722b921770c970,2026-05-21T04:45:00+00:00
OPENAIUSDT,binance-futures,2026-05-26T08:00:00+00:00,2026-05-26T14:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;markPriceKlines;metrics;premiumIndexKlines,976b92e9c98390bef992d712,2026-05-26T08:30:00+00:00
CTRUSDT,binance-futures,2026-05-28T09:00:00+00:00,2026-05-28T15:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics,572cd83f5720bcd5d1c2187c,2026-05-28T09:30:00+00:00
QNTXUSDT,binance-futures,2026-05-29T07:45:00+00:00,2026-05-29T14:15:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;markPriceKlines;metrics;premiumIndexKlines,71e4da15c6c4a9bb54da9834,2026-05-29T08:15:00+00:00
SLXUSDT,binance-futures,2026-06-01T07:00:00+00:00,2026-06-01T13:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics,03ba3fbc3b60d01293ced6b8,2026-06-01T07:30:00+00:00
ANTHROPICUSDT,binance-futures,2026-06-02T04:00:00+00:00,2026-06-02T10:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;markPriceKlines;metrics;premiumIndexKlines,d913e3b032076ea0acc1c625,2026-06-02T04:30:00+00:00
ZESTUSDT,binance-futures,2026-06-04T13:30:00+00:00,2026-06-04T20:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,baf507f943c3234dd3349b17,2026-06-04T14:00:00+00:00
ARXUSDT,binance-futures,2026-06-23T04:15:00+00:00,2026-06-23T10:45:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,ace902e11e083aed89453fd5,2026-06-23T04:45:00+00:00
OUSDT,binance-futures,2026-06-24T11:15:00+00:00,2026-06-24T17:45:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics,dda6f21f5273653ecc988770,2026-06-24T11:45:00+00:00
CAPUSDT,binance-futures,2026-06-27T11:15:00+00:00,2026-06-27T17:45:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics,c5b864cf4dd397c1d6ef3939,2026-06-27T11:45:00+00:00
DATAIPUSDT,binance-futures,2026-07-03T06:15:00+00:00,2026-07-03T12:45:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,230ce5a85a2127398ae882db,2026-07-03T06:45:00+00:00
SKHYUSDT,binance-futures,2026-07-10T15:20:00+00:00,2026-07-10T21:50:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,ebcb069f413d87e3ef9e100d,2026-07-10T15:50:00+00:00
POPMARTUSDT,binance-futures,2026-07-23T02:00:00+00:00,2026-07-23T08:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,da994df5057188e2584557f8,2026-07-23T02:30:00+00:00
GRVTUSDT,binance-futures,2026-07-31T12:15:00+00:00,2026-07-31T18:45:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,236fa99f5592a4897da47982,2026-07-31T12:45:00+00:00
GIGADEVUSDT,binance-futures,2026-08-03T05:00:00+00:00,2026-08-03T11:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,43f2c0248b765f05f8838aac,2026-08-03T05:30:00+00:00
DOSUSDT,binance-futures,2026-08-11T14:30:00+00:00,2026-08-11T21:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,59e06472fc86d6593e4f1ec7,2026-08-11T15:00:00+00:00
UNITREEUSDT,binance-futures,2026-08-19T02:15:00+00:00,2026-08-19T08:45:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,8e5439011d436434070c3559,2026-08-19T02:45:00+00:00
MARSCOINUSDT,binance-futures,2026-09-01T09:15:00+00:00,2026-09-01T15:45:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,52458484e807a05d5e6a8195,2026-09-01T09:45:00+00:00
GPROUSDT,binance-futures,2026-09-03T13:15:00+00:00,2026-09-03T19:45:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,9d284c44285f781ea3153bc1,2026-09-03T13:45:00+00:00
PONSUSDT,binance-futures,2026-09-06T06:15:00+00:00,2026-09-06T12:45:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,266efa4370e672325fa7860d,2026-09-06T06:45:00+00:00
